Review_ID,Product_ID,Product_Name,Review_Date,Star_Rating,Review_Text,Helpfulness_Count,Support_Contacted,Language_Code
tgdd-59468387,iphone-17-pro-max,iPhone 17 Pro Max 256GB,30/05/2026,5,Sản phầm iphone 17 pro max màu bạc của thế giới đi động sao đuôi là ZP/A không phải đuôi VN/A nhở || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 30/05/2026,0,1,vi
tgdd-59466181,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,Tuyệt vời,0,0,vi
tgdd-59462598,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,1,"TÔI XIN NÓI THẬT, NẾU CHO TUI XIN LỰA CHỌN LẠI MUA MÁY TẠI SIÊU THỊ NÀY THÌ CHẮC CHẮN TÔI SẼ KHÔNG MUA ĐIỆN THOẠI TẠI ĐÂY VÌ CHẾ ĐỘ BẢO HÀNH GIAN DỐI KHÔNG ĐÚNG NHƯ THỎA THUẬN VÀ NHÂN VIÊN CHẬM TRỄ COI THƯỜNG KHÁCH HÀNG TỔNG ĐÀI KHIẾU NẠI TẠI NƠI ĐÂY CHỈ ẬM Ừ RỒI IM LẶNG. TÔI RẤT BỨC XÚC. TÔI KHÔNG NGHỈ NƠI ĐÂY LÀ MÌNH NƠI UY TÍN AI NGỜ CHỈ CŨNG LÀ DẠNG LÀM ĂN GIAN DỐI || Đánh giá này đã được chuyển tới bộ phận hỗ trợ",1,1,vi
tgdd-59457705,iphone-17-pro-max,iPhone 17 Pro Max 256GB,23/05/2026,4,Mới mua 2 ngày giờ thấy Camera dính bụi bên trong thỳ sử lý sao nhỉ || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 23/05/2026,0,1,vi
tgdd-59422479,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"Nghe gọi khi bật loa ngoài thì tiếng vang rất to, không nghe thấy người nói luôn là bị sao thế và có thể tự khắc phục không ạ",16,0,vi
tgdd-59390859,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,2,Viet danh gia dai thi k up đc,0,0,vi
tgdd-59365841,iphone-17-pro-max,iPhone 17 Pro Max 256GB,28/04/2026,1,"17/4/2025, tôi mua iPhone 17 Pro Max đầu tiên tại TGDĐ chọn giao tận nhà. Khi nhận hàng và khui xài, ngay từ đầu tôi đã thấy màn hình bị chói bất thường, dùng một lúc là mỏi mắt, chóng mặt. Tôi có báo lại và đem tới TGDĐ thì được trả lời là chắc do c chưa quen.Tôi dán thêm màn hình và cài đặt giảm chói vẫn ko ăn thua. Tôi chỉ dùng như máy phụ để chụp hình quay video, vì dùng lâu là không chịu nổi.Đến 26/4, tôi mua thêm 1 iPhone 17 Pro Max nữa cho người khác, lần này tôi tới mua trực tiếp tại TGDĐ.Khi khui máy tại cửa hàng, tôi đặt 2 máy cạnh nhau, thì thấyMáy mua ngày 17/4 màn chói gắt, nhìn rất khó chịuMáy mới mua hiển thị bình thường, dễ nhìnTôi yêu cầu đổi máy khác cho tôi thì nhân viên nói là đem gửi cho hãng để thẩm định 15 ngày, tôi bực nhưng đồng ý. Và Nhân viên gỡ dán màn hình Tôi reset máy hoàn toàn So sánh lại tại chỗKết quả máy kia vẫn chói rõ ràng hơn máy mớiNhưng điều vô lý làDù có so sánh trực tiếp 2 máy cùng model ngay tại cửa hàng, TGDĐ vẫn KHÔNG hỗ trợ đổi, mà yêu cầu gửi hãng thẩm định 15 ngày. Trong khi đây là lỗi nhìn thấy rõ bằng mắt thường, ảnh hưởng trực tiếp đến sức khỏe mỏi mắt, chóng mặt, có đối chứng cùng model ngay tại chỗMột sản phẩm lỗi hiển thị rõ ràng như vậy, khách hàng đã chứng minh trực tiếp tại cửa hàng, thì tại sao không được hỗ trợ đổi ngay, mà bắt khách chờ 15 ngày || Chăm sóc khách hàng đã liên hệ hỗ trợ ngày 28/04/2026",13,1,vi
tgdd-59363978,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"máy sài mượt bin trâu, bạn nhân viên Tên Trà làm ở thế giới di động ngay bến xe trị an tư vấn nhiệt tình.",4,0,vi
tgdd-59315315,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,3,"Máy đẹp, mua được màu bạc với giá tốt. Mua trả thẳng nhưng trải nghiệm mua chưa tốt lắm, lúc về tự gom hộp, tự xách về, tự mở cửa, tự dắt xe. Trải nghiệm này ko giống như các lần trước mình mua hàng.",2,0,vi
tgdd-59313833,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"Mình mua tại TGDD Phú Quốc 37 Hùng Vương ngày 16/03 bạn nhân viên Tiểu Bối tư vấn, hỗ trợ nhiệt tình. Shop ko ép mua hàng, trải nghiệm tốt",9,0,vi
tgdd-59293512,iphone-17-pro-max,iPhone 17 Pro Max 256GB,09/04/2026,4,"Lúc mua mình không để ý, tại sao lại là bản P/A, không phải bản VN/A || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 09/04/2026",3,1,vi
tgdd-59258331,iphone-17-pro-max,iPhone 17 Pro Max 256GB,03/04/2026,1,"Mình mới mua IP 17 Promax ở Hải Phòng, nhân viên tư vấn bán hàng ko nói và khi về mình mới để ý phát hiện ra là IP mã ZP/a và đã được kích hoạt từ trước 28/1/2026 trong khi ngày mình mua là 3/4/2026 Quá thất vọng || Chăm sóc khách hàng đã liên hệ hỗ trợ ngày 03/04/2026",5,1,vi
tgdd-59201446,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"Nhìn chung là sảm phẩm rất ok, nhân viên cũng tư vấn cũng nhiệt tình",6,0,vi
tgdd-59117298,iphone-17-pro-max,iPhone 17 Pro Max 256GB,06/03/2026,1,"Cái camera khi gọi mess rất mờ và nhoè. ra nhờ nhân viên siêu thị test bạn đó cũng sài ip 17prm. và k hề bị nhoè như mình. vậy mà gởi đi bảo hành kêu không có lỗi. và trả về như cũ . là 1 đổi 1 dữ chưa. làm ăn tệ, mất uy tín || Bộ phận bảo hành đã liên hệ hỗ trợ ngày 06/03/2026",8,1,vi
tgdd-59113071,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"máy rất đẹp, mình mua ở tgdd nguyễn duy trinh hôm 26/2 , nhân viên nhiệt tình dễ thương",29,0,vi
tgdd-59108870,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"nhân viên shop giao hàng , hướng dẫn rất nhiệt tình . sản phẩm rất vừa ý .",11,0,vi
tgdd-59108437,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,2,"Không hiểu sao điện thoại mình mua được khoảng 5 tháng và sạc 87 chu kì. Mà đã bị tuột còn 99%. Mình luôn có thói quen sử dụng điện thoại ở mức pin từ 2080%, không chơi game, không vừa sạc vừa chơi, không để điện thoại trong môi trường nóng, chỉ có thường xuyên sử dụng 5G. Cảm giác chỉ mua được 5 tháng mà tuột pin thì quá là thất vọng và đáng nghi về chất lượng của dòng này. || Đánh giá này đã được chuyển tới bộ phận hỗ trợ",16,1,vi
tgdd-59103110,iphone-17-pro-max,iPhone 17 Pro Max 256GB,25/02/2026,2,Nhân viên hok tư vấn mã sản phẩm hok phải VNA || Chăm sóc khách hàng đã liên hệ hỗ trợ ngày 25/02/2026,5,1,vi
tgdd-59097511,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,Ip17prm thì ngon rồi. Pin trâu cực kì cam đẹp sạc nhanh ok nhất là không nóng máy nha đẹp nua Ai mà mua ip16prm hối hận lổ tiền thôi. Tôi mới đầu mua cũng sợ lổi mà mua roi quá ngon 37.990 đúng đồng tiền,40,0,vi
tgdd-59087230,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,3,"Tàm tạm thôi , đơ màn hình nhiều , cảm ứng trễ . Trong khi giá quá cao",5,0,vi
tgdd-59068214,iphone-17-pro-max,iPhone 17 Pro Max 256GB,05/02/2026,1,"Sản phẩm thì okay, nhưng thái độ phục vụ quá tệ. Mình mua máy mới mà cái họp bị đốm trắng quá trời trên hình của iphone. Mình nói họp vậy mình không lấy thì nhân viên khó chịu. Làm việc thì lề mề chậm chạp. Không quay lại mua ở TGDĐ nữa. || Chăm sóc khách hàng đã liên hệ hỗ trợ ngày 05/02/2026",9,1,vi
tgdd-59052235,iphone-17-pro-max,iPhone 17 Pro Max 256GB,30/01/2026,3,"Mình có mua 1 máy iphone 17 prm trắng, mình cũng kiểm tra hàng kỹ lúc mở hộp, bạn nhân viên bán hàng cũng nhiệt tình kiểm tra ngoại quan máy cùng mình, vậy mà tối về nhà rảnh nên bỏ máy ra xem vẫn dính 1 vết đốm ở mặt kính trắng sau máy và 1 hạt bui nhỏ trong ống kính cam sau. Apple sản xuất sản phẩm giá trị cao mà vẫn có khuyết điểm về ngoại hình khiến mình cũng không hài lòng với số tiến lớn đã phải bỏ ra. Có chút thất vọng. || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 30/01/2026",11,1,vi
tgdd-59020976,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"Hải đã mua trưa hôm qua, máy ngon lành D",34,0,vi
tgdd-59006834,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,Máy mới màu đẹp xài mượt ngon nha không lỗi vặt,15,0,vi
tgdd-58959260,iphone-17-pro-max,iPhone 17 Pro Max 256GB,02/01/2026,3,sao tôi mua ở thế giới di động không phải bản VN/A || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 02/01/2026,20,1,vi
tgdd-58922452,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,4,"Mình từ Samsung chuyển qua S23 plus điều mình cảm thấy là dùng rất mượt, pin tốt, camera chụp đẹp chụp đẹp hơn hẳn 16 promax. Nhưng mình thấy có điều ko bằng samsung là ko có khoanh tròn tìm kiếm tiện như samsung,hay tìm âm thanh như samsung, AI ko bằng nữa, back chỗ vuốt dc chỗ ko ko đồng bộ như samsung,dùng youtube bản pre phải tốn tiền kia xài chùa dc, bàn phím nó cứ hơi lag lag, dùng bàn vni càng bất tiện, Ngoài ra bạn đừng nghe dụ dỗ mua ốp lưng hở cụm camera như mình về sợ xước lại phải thay ốp khác phí 350k",12,0,vi
tgdd-58920897,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,5,"Tôi mua 17prm 256GB với giá 37.990.000Nhưng không được tặng kèm bất kì cái gì cả Đến tấm kín cường lực cũng phải mua với giá 198.000Các phiếu mua hàng giá trị còn lại không được cung cấp Trong hoá đơn có ghi , nhưng tôi không hề nhận được Phải chăng nhân viên thế giới di động đã ăn chặn các phiếu mua hàng đó của tôi Tôi mua ở TGDĐ xã Gio Linh tỉnh Quảng Trị huyện Gio Linh cũ",483,0,vi
tgdd-58906764,iphone-17-pro-max,iPhone 17 Pro Max 256GB,13/12/2025,5,"Máy rất tốt. Tôi có mua thêm gói bảo hành pvi 1 đổi 1 trong vòng 1 năm nhưng cảm thấy không cần thiết, giờ tôi muốn huỷ gói bảo hành này được không || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 13/12/2025",41,1,vi
tgdd-58905325,iphone-17-pro-max,iPhone 17 Pro Max 256GB,12/12/2025,2,Video lúc có tiếng lúc không || Bộ phận bảo hành đã liên hệ hỗ trợ ngày 12/12/2025,2,1,vi
tgdd-58905290,iphone-17-pro-max,iPhone 17 Pro Max 256GB,12/12/2025,1,Mua máy tối 15/11Trưa 22/11 máy hiện lỗi loa mang ra cửa hàng nhân viên xem qua nói loa bình thường chị yên tâm sử dụng nha. Sang hôm nay trưa 12/12 máy lại tiếp tục báo lỗi loa. || Bộ phận bán hàng đã liên hệ hỗ trợ ngày 12/12/2025,13,1,vi
tgdd-58897558,iphone-17-pro-max,iPhone 17 Pro Max 256GB,,1,"máy mua chưa được 1 ngày loa rè kêu phải gửi ra hãng check 710 ngày, dịch vụ quá tệ || Đánh giá này đã được chuyển tới bộ phận hỗ trợ",21,1,vi
